config,example_id,precision@1,recall@1,ndcg@1,hit_rate@1,precision@3,recall@3,ndcg@3,hit_rate@3,precision@5,recall@5,ndcg@5,hit_rate@5,mrr,faithfulness,answer_relevance,context_utilization
tfidf_baseline,q15,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.111688,0.074074
tfidf_baseline,q16,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.067268,0.074074
tfidf_baseline,q17,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.285403,0.080000
tfidf_baseline,q18,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.092833,0.120000
tfidf_baseline,q19,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.088706,0.080000
tfidf_baseline,q20,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.189425,0.103448
tfidf_baseline,q21,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.096782,0.074074
tfidf_baseline,q22,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.046712,0.074074
tfidf_baseline,q23,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.167062,0.111111
tfidf_baseline,q24,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.251431,0.068966
tfidf_baseline,q25,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.083635,0.080000
tfidf_baseline,q26,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.377839,0.086957
tfidf_baseline,q27,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.214106,0.076923
tfidf_baseline,q28,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.319133,0.074074
tfidf_baseline,q29,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.131477,0.090909
tfidf_baseline,q30,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.207812,0.103448
tfidf_baseline,q31,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.217930,0.062500
tfidf_baseline,q32,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.071484,0.074074
tfidf_baseline,q33,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.197359,0.083333
tfidf_baseline,q34,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.154503,0.071429
tfidf_baseline,q35,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.346849,0.071429
tfidf_baseline,q36,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.064430,0.107143
tfidf_baseline,q37,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.198207,0.083333
tfidf_baseline,q38,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100578,0.074074
tfidf_baseline,q39,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.222809,0.074074
tfidf_baseline,q40,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.216584,0.086957
minilm,q01,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.313090,0.086957
minilm,q02,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.087373,0.074074
minilm,q03,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.033546,0.095238
minilm,q04,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.080356,0.090909
minilm,q05,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.345109,0.074074
minilm,q06,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.195704,0.076923
minilm,q07,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.294671,0.076923
minilm,q08,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.148186,0.111111
minilm,q09,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.047611,0.111111
minilm,q10,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.104482,0.120000
minilm,q11,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.372477,0.074074
minilm,q12,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.109866,0.080000
minilm,q13,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.188000,0.074074
minilm,q14,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.095334,0.074074
minilm,q15,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.097410,0.120000
minilm,q16,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.082699,0.086957
minilm,q17,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.217325,0.080000
minilm,q18,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.073806,0.080000
minilm,q19,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.047445,0.080000
minilm,q20,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.065219,0.125000
minilm,q21,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.143295,0.076923
minilm,q22,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.231606,0.125000
minilm,q23,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.148888,0.076923
minilm,q24,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.372248,0.071429
minilm,q25,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.218777,0.068966
minilm,q26,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.400138,0.083333
minilm,q27,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.268359,0.111111
minilm,q28,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.324358,0.086957
minilm,q29,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.103244,0.130435
minilm,q30,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.296968,0.074074
minilm,q31,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.225962,0.080000
minilm,q32,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.081155,0.074074
minilm,q33,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.083698,0.136364
minilm,q34,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.161871,0.136364
minilm,q35,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.347211,0.076923
minilm,q36,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.220136,0.076923
minilm,q37,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.269708,0.090909
minilm,q38,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.128964,0.090909
minilm,q39,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.199593,0.074074
minilm,q40,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.212582,0.080000
minilm_rerank,q01,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.312254,0.074074
minilm_rerank,q02,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.088599,0.076923
minilm_rerank,q03,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.036011,0.080000
minilm_rerank,q04,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.081631,0.076923
minilm_rerank,q05,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.343227,0.071429
minilm_rerank,q06,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.196049,0.076923
minilm_rerank,q07,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.301358,0.074074
minilm_rerank,q08,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.148359,0.115385
minilm_rerank,q09,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.065747,0.125000
minilm_rerank,q10,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.110988,0.115385
minilm_rerank,q11,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.369622,0.066667
minilm_rerank,q12,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.113348,0.071429
minilm_rerank,q13,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.188000,0.074074
minilm_rerank,q14,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.095583,0.071429
minilm_rerank,q15,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.098171,0.120000
minilm_rerank,q16,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.082699,0.086957
minilm_rerank,q17,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.217325,0.080000
minilm_rerank,q18,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.073806,0.080000
minilm_rerank,q19,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.047445,0.080000
minilm_rerank,q20,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.070191,0.107143
minilm_rerank,q21,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.143295,0.076923
minilm_rerank,q22,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.232207,0.111111
minilm_rerank,q23,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.148514,0.074074
minilm_rerank,q24,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.371360,0.071429
minilm_rerank,q25,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.221487,0.074074
minilm_rerank,q26,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.397650,0.080000
minilm_rerank,q27,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.268359,0.111111
minilm_rerank,q28,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.321685,0.083333
minilm_rerank,q29,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.103244,0.130435
minilm_rerank,q30,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.286745,0.071429
minilm_rerank,q31,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.222224,0.074074
minilm_rerank,q32,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.081155,0.074074
minilm_rerank,q33,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.083795,0.111111
minilm_rerank,q34,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.163905,0.120000
minilm_rerank,q35,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.338618,0.068966
minilm_rerank,q36,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.215281,0.071429
minilm_rerank,q37,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.273190,0.076923
minilm_rerank,q38,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.134062,0.076923
minilm_rerank,q39,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.197826,0.076923
minilm_rerank,q40,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.208063,0.076923
